From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
#BRITAIN
13;1690;sea;1019;655;3608;668;3617;Slemish-Arran
14;1684;sea;699;669;3577;698;3584;Carrickfergus-Wigtown
35;1691;sea;696;671;3710;674;3715;Mull-Ardnamurchon
1504;1515;river_large;628;-1;-1;-1;-1;Rochester-Maldon
1527;1526;river_large;629;948;3303;-1;-1;London-Southwark
1546;1549;sea;966;877;3242;880;3247;Portsmouth-Carisbrooke
1667;1673;sea;1019;725;3445;730;3442;Caernarfon-Yns Mon
1684;1699;sea;1019;724;3571;729;3544;Wigtown-Ramsey
1692;1693;sea;992;660;3800;653;3817;Skye-Lewis
1692;1694;sea;696;638;3784;621;3791;Skye-Uists
1693;1694;sea;992;628;3806;622;3801;Lewis-Uists
1690;1689;sea;700;660;3644;675;3639;Arran-Islay
1689;1691;sea;700;656;3666;667;3692;Islay-Mull
1707;8;sea;693;820;3869;830;3881;Thurso-Kirkwall
1711;1692;sea;696;680;3753;686;3751;Glenfinnan-Skye
#IBERIA
1748;1839;river_large;3250;536;2241;-1;-1;Faor-Ayamonte
1833;1835;river_large;3252;570;2347;-1;-1;Zalaca-Badajoz
1845;4682;sea;954;657;2155;658;2142;Algeciras-Sabta
1979;1995;river_large;3253;687;2270;-1;-1;Cabra-Cordoba
1981;1993;river_large;3253;619;2244;-1;-1;Seville-Triana
#FRANCE
2016;2017;river_large;3247;1202;2655;-1;-1;Nimes-Arles
2142;2144;river_large;3224;901;2785;-1;-1;Bordeaux-Blaye
2261;2267;river_large;3227;922;2964;-1;-1;Saumur-Angers
2175;2179;river_large;3234;992;3130;-1;-1;Harcourt-Rouen
2151;2152;river_large;3226;-1;-1;-1;-1;Rais-Nantes
2332;2181;river_large;3236;1034;3089;-1;-1;Montfort-Mantes
2333;2357;river_large;3236;-1;-1;-1;-1;Paris-Saint-Denis
#GERMANY
2113;2401;sea;3230;1190;3307;1185;3299;Bergen op Zoom-Brielle
2402;2401;sea;3230;1203;3306;1209;3307;Dort-Brielle
2425;2103;river_large;3231;1271;3307;-1;-1;Tiel-Nijmegen
2101;2677;river_large;3231;1327;3274;-1;-1;Moers-Essen
2407;2412;sea;973;1237;3405;1244;3415;Aalkmar-Wadeilannen
2413;2412;sea;973;1293;3420;1291;3425;Leeuwarden-Wadeilannen
2802;2803;river_large;3237;-1;-1;-1;-1;Hamburg-Buxtehude
2814;2899;river_large;3239;1601;3379;-1;-1;Havelberg-Weben
#ITALY
2489;2491;river_large;3245;1513;2746;-1;-1;Roncaglia-Cremona
2497;2530;river_large;3244;1549;2744;-1;-1;Mantua-Guastalla
2525;2527;river_large;3243;1610;2737;-1;-1;Rovigo-Ferrara
2627;2633;sea;8653;1864;2218;1855;2213;Reggio-Messina
2652;2658;sea;8637;1477;2460;1482;2451;Bonifacio-Olbia
#SCANDINAVIA
55;81;sea;1001;1518;3690;1517;3680;Lindholm-Aalborg
227;228;sea;999;1510;3577;1514;3573;Taulov-Middelfart
64;67;sea;999;1618;3534;1617;3526;Naestved-Nykobing
65;69;sea;999;1559;3562;1583;3567;Odense-Slagelse
66;68;sea;999;1560;3530;1571;3526;Svendborg-Nakskov
67;68;sea;999;1606;3510;1614;3511;Nykobing-Nakskov
73;433;sea;999;1641;3612;1647;3618;Helsingborg-Helsingora
180;216;sea;1005;2016;3910;1972;3894;Rauma-Sund
270;272;sea;986;1541;4130;1551;4128;Nidaros-Hitrar
307;314;sea;1003;1828;3658;1834;3656;Kalmar-Borgholm
344;217;sea;1005;1910;3888;1943;3882;Osthammar-Jomala
341;336;sea;959;1900;3836;1900;3827;Sigtuna-T�lje
257;256;river_large;8559;-1;-1;-1;-1;Mithrhordaland-Sunnhordaland
262;263;river_large;8558;-1;-1;-1;-1;Stolsheimen-Fjarland
#BALTICS
89;90;sea;632;2111;3763;2114;3765;Maasilinna-Muhu
89;91;sea;639;2096;3767;2095;3776;Maasilinna-Hiiumaa
92;91;sea;646;2108;3786;2115;3788;Haapsalu-Hiiumaa
93;90;sea;632;2125;3767;2129;3767;Lihula-Muhu
110;88;sea;639;2068;3703;2074;3721;Piltene-Kuressaare
104;108;river_large;3241;-1;-1;-1;-1;Riga-Ikskila
137;150;river_large;1081;2252;3587;-1;-1;Duagavpils-Oknist
#POLAND
2830;2831;river_large;1052;1958;3466;-1;-1;Danzig-Wislana
4921;3198;river_large;1053;-1;-1;-1;-1;Bydgoszcz-Chelmno(Kulm)
4919;4922;river_large;1053;-1;-1;-1;-1;Wloclawek-Dobrzyn
4940;529;river_large;1053;-1;-1;-1;-1;Gostynin-Plock
530;4939;river_large;1055;-1;-1;-1;-1;Czersk-Garwolin
#WALLACHIA
4997;508;river_large;1059;-1;-1;-1;-1;Calarasi-Silistra
514;507;river_large;1060;-1;-1;-1;-1;Turnu-Nikopolis
516;3667;river_large;1061;-1;-1;-1;-1;Severin-Klodovo
# HUNGARY
3803;522;river_large;1066;-1;-1;-1;-1;Visegrad-Pest
3805;3807;river_large;1066;-1;-1;-1;-1;Szekesfehevar-Kalocsa
3808;3976;river_large;1066;1977;-1;-1;-1;Esztergom-B�ny
3809;3916;river_large;1067;1958;2957;-1;-1;Kom�rom-B�torkeszi
3610;518;river_large;8560;-1;-1;-1;-1;Vakovo-Bacs
#GREECE
472;3710;sea;1038;2109;2341;2101;2337;Buthrothum-Corfu
3701;474;sea;1037;2145;2266;2145;2255;Vonitsa-Cephalonia
474;3696;sea;1037;2145;2229;2151;2217;Cephalonia-Zakynthos
3727;3726;sea;942;2293;2290;2285;2286;Boudounitsa-Oreoi
485;3730;sea;942;2329;2260;2336;2262;Chalkis-Thebes
3755;3756;sea;942;2407;2215;2404;2219;Andros-Tinos
484;3756;sea;942;2430;2181;2424;2195;Naxos-Tinos
484;3757;sea;1017;2433;2132;2435;2157;Naxos-Thera
488;3725;sea;8666;2303;2327;2324;2319;Demetrias-Skopelos
3726;3725;sea;942;2315;2301;2325;2310;Oreoi-Skopelos
3740;3741;sea;936;2556;2120;2525;2156;Kos-Lindos
3741;3742;sea;8661;2556;2101;2531;2079;Lindos-Karpathos
3751;487;sea;1111;2466;2348;2463;2343;Alexandria Troas-Mytilene
3767;3769;sea;8665;2365;2445;2366;2439;Alexandria Xanthia-Thasos
495;3749;sea;947;2486;2424;2492;2420;Kalliopolis-Lampsakos
496;5565;sea;947;2594;2468;2602;2466;Constantinople-Chalcedon
#BALKANS
464;459;sea;8650;1782;2741;1787;2743;Senj-Krk
459;2521;sea;8650;1775;2734;1766;2727;Krk-Cres
3555;3556;sea;1109;1913;2598;1922;2602;Mokro-Hvar
3556;3569;sea;1109;1930;2578;1942;2578;Hvar-Ston
#RUSSIA
169;170;river_large;1006;2354;3837;-1;-1;Nyen-P�hkin�linna
552;5116;river_large;1079;2350;3294;-1;-1;Turov-Mikashevichy
5095;5122;river_large;1083;-1;-1;-1;-1;Chornobyl-Rechytsa
5135;5134;river_large;1082;-1;-1;-1;-1;Haradok-Vitebsk
5129;5131;river_large;3242;-1;-1;-1;-1;Polotsk-Myory
5138;5154;river_large;1085;-1;-1;-1;-1;Ladoga-Kirishi
5137;5254;river_large;8569;-1;-1;-1;-1;Novgorod-Svolensk
5143;5162;river_large;8570;-1;-1;-1;-1;Rusa-Kholm
5161;5151;river_large;1087;-1;-1;-1;-1;Luki-Nevel
5160;193;river_large;8571;-1;-1;-1;-1;Podporozhye-Aunus
5171;5164;river_large;1106;-1;-1;-1;-1;Andreapol-Torzhok
5173;5164;river_large;8578;-1;-1;-1;-1;Tver-Torzhok
5173;5175;river_large;8578;-1;-1;-1;-1;Tver-Kashin
572;5176;river_large;1105;-1;-1;-1;-1;Yaroslavl-Mologa
5247;5251;river_large;8580;-1;-1;-1;-1;Plyos-Kostroma
584;585;river_large;1098;-1;-1;-1;-1;NizhnyNovgorod-Gorodets
584;5235;river_large;8574;-1;-1;-1;-1;NizhnyNovgorod-Pavlovo
5253;580;river_large;1102;-1;-1;-1;-1;VaskinaPolyana-Ryazan
5253;5228;river_large;1099;-1;-1;-1;-1;VaskinaPolyana-PereyaslavlRyazanski
5238;5228;river_large;1099;-1;-1;-1;-1;Yegoryevsk-PereyaslavlRyazanski
587;5218;river_large;1104;-1;-1;-1;-1;Mozhaysk-Suvorov
5204;5208;river_large;1074;-1;-1;-1;-1;Trubetsk-Lokot
5221;568;river_large;1078;-1;-1;-1;-1;Gnezdovo-Smolensk
5119;5225;river_large;8565;2450;3371;-1;-1;Babruysk-Cherykaw
5201;554;river_large;1073;2510;3230;-1;-1;Unenezh-Chernigov
5122;554;river_large;1077;2492;3240;-1;-1;Rechytsa-Chernigov
547;554;river_large;8564;2499;3188;-1;-1;Kiev-Chernigov
547;555;river_large;1072;-1;-1;-1;-1;Kiev-Pereyaslavl
#BJARMALAND
5156;5816;river_large;1101;-1;-1;-1;-1;Beloozero-Ostrov
5157;5824;river_large;8579;-1;-1;-1;-1;Cherepovets-Vologda
572;5828;river_large;1098;-1;-1;-1;-1;Yaroslavl-Vyatskoye
5798;5799;river_large;5855;-1;-1;-1;-1;Kholmogory-Arkhangelsk
5840;5841;river_large;5857;-1;-1;-1;-1;Kotlas-Usyorga
#PONTIC STEPPE
5268;512;river_large;1056;-1;-1;-1;-1;Odessa-Cetatea Alba
5257;5021;river_large;1057;-1;-1;-1;-1;Ladyzyn-Soroca
5263;5189;river_large;1071;-1;-1;-1;-1;Cherkassy-Voin
5274;557;river_large;8563;-1;-1;-1;-1;Dnipro-Khortytsia
5269;558;river_large;1070;-1;-1;-1;-1;Kherson-Oleshye
562;598;sea;8670;2920;2804;2932;2804;Kerch-Tmutarkan (Kerch strait)
5291;595;river_large;8584;-1;-1;-1;-1;Siyahtepe-Sarysyn
5290;607;river_large;1090;-1;-1;-1;-1;Golden Hills-Sarkel
596;597;river_large;8585;-1;-1;-1;-1;Tana-Azov
604;620;river_large;1092;-1;-1;-1;-1;Khazaran-Itil
595;619;river_large;1093;-1;-1;-1;-1;Sarysyn-Saray
#VOLGA BULGARIA
588;590;river_large;1097;-1;-1;-1;-1;Yoshkar-Ola-Cheboksary
614;611;river_large;8581;-1;-1;-1;-1;Ashli-Kazan
614;610;river_large;1096;-1;-1;-1;-1;Ashli-Bolghar
5411;609;river_large;8582;-1;-1;-1;-1;Banja-Sumar
592;5347;river_large;1103;-1;-1;-1;-1;Saratov-Engels
593;5287;river_large;1090;-1;-1;-1;-1;Khopyor-Kazanskaya
610;5397;river_large;8577;-1;-1;-1;-1;Bolghar-Kashan
5408;5403;river_large;5510;-1;-1;-1;-1;Yar Calli-Elabuga
886;5450;river_large;5511;-1;-1;-1;-1;Perm-Nytva
#CANARIAS
849;8713;sea;8622;158;1726;136;1740;GranCanaria-Tenerife
849;8714;sea;8622;180;1721;219;1719;GranCanaria-Fuerteventura
8714;8715;sea;8622;246;1756;250;1760;Fuerteventura-Lanzarote
#EGYPT
6043;6047;river_large;6026;-1;-1;-1;-1;Daqahla-Samannud
6042;6057;river_large;6028;-1;-1;-1;-1;Cairo-Gizeh
6049;6054;river_large;6027;-1;-1;-1;-1;Nastarawa-Damanhur
6063;6064;river_large;6028;-1;-1;-1;-1;Al-Bahnasa-Ihrit
6067;6068;river_large;6029;-1;-1;-1;-1;Al-Ushmunain-Ansina
6070;6071;river_large;6029;-1;-1;-1;-1;Asyut-Bawit
6077;6078;river_large;6125;-1;-1;-1;-1;Qus-Armant
#SUB-SAHARAN AFRICA
8115;8087;river_large;8092;1533;571;-1;-1;Bonny-Nembe
8086;8111;river_large;8093;1534;632;-1;-1;Ode Itseriki-Onitsha
8085;6548;river_large;8094;1491;772;-1;-1;Kyadya-Bida
6553;6915;river_large;6796;1393;891;-1;-1;Yauri-Kaoje
6570;6714;river_large;6796;1285;965;-1;-1;Rozi-Pekinga
6577;6579;river_large;6794;1088;1149;-1;-1;Gao-Koima
6608;6670;river_large;6793;921;1158;-1;-1;Kabara-Bangu
6620;6647;river_large;6791;821;1050;-1;-1;Mara-Kaniana
#MESOPOTAMIA
4822;4823;river_large;6127;3464;2011;-1;-1;Kaskar-An-Numaniya
4797;4824;river_large;6126;3423;2038;-1;-1;Iskaf-Humaniya
6008;6021;river_large;6128;3530;1944;-1;-1;Nahr Simmara-Matara Iraq
#ARABIA
6157;6156;sea;1394;3677;1704;3686;1704;Al-Khatt-Uwal
6150;6156;sea;1394;3696;1698;3709;1690;Murwab-Uwal
4186;4187;sea;1393;3959;1778;3949;1768;Shahru-Laft (Strait of Hormuz)
6132;4187;sea;1393;3962;1734;3949;1751;Musandam-Laft (Strait of Hormuz)
6282;8340;sea;1385;3386;1026;3374;1023;Al-Mandab-Assab
6282;8341;sea;1385;3398;1019;3386;1004;Al-Mandab-Awbuk
8286;8280;sea;8673;3216;1153;3215;1147;Buri-Dahlak Kebir
#INDIA
1295;3355;sea;1397;4699;1655;4704;1650;Kanthakota-Morvi
1297;3400;river_large;8681;4546;1718;-1;-1;Debul-Sauvira
1138;1175;river_large;1308;4568;1885;-1;-1;Bhakkar-Aror
1339;3408;river_large;1309;4637;1964;-1;-1;Rajanpur-Chachran
1340;3417;river_large;8588;4640;2062;-1;-1;Karor-Dera Ghazi Khan
1178;3410;river_large;8590;4715;2012;-1;-1;Karur-Askhanda
3421;3423;river_large;8591;4786;2067;-1;-1;Pancapura-Abohar
1127;3383;river_large;8593;-1;-1;-1;-1;Akruresvara-Navasarika
1262;1194;river_large;8594;-1;-1;-1;-1;Thalner-Sindkheda
7910;7913;river_large;8598;-1;-1;-1;-1;Palwancha-Bhadracala
1123;7916;river_large;8597;-1;-1;-1;-1;Vengipura-Draksharama
7836;1201;river_large;8596;-1;-1;-1;-1;Kannanur-Karavur
7836;7807;river_large;8595;-1;-1;-1;-1;Kannanur-Uraiyur
7836;1115;river_large;8595;-1;-1;-1;-1;Kannanur-Tanjavur
7838;1115;river_large;8595;-1;-1;-1;-1;Nagapattinam-Tanjavur
1319;1240;river_large;1311;5680;1808;-1;-1;Bikrampur-Fathabad
1323;856;river_large;456;5591;1787;-1;-1;Nabadwipa-Santipura
1243;842;river_large;456;5583;1824;-1;-1;Karnasubarna-Raktamrittika
1243;839;river_large;1312;5606;1833;-1;-1;Karnasubarna-Rampur Boalia
1325;848;river_large;1316;5648;1863;-1;-1;Madhupur-Somapur
1321;815;river_large;8603;5755;1975;-1;-1;Kamarupanagara-Pragyotisapura
1418;813;river_large;8604;5809;1996;-1;-1;Haruppeswara-Numaligarh
837;843;river_large;1313;-1;-1;-1;-1;Gaur-Agmahl
1154;879;river_large;1315;-1;-1;-1;-1;Pataliputra-Hajipur
1163;1281;river_large;8602;-1;-1;-1;-1;Varanasi-Chunar
927;931;river_large;8600;-1;-1;-1;-1;Bhubaneswar-Athgarh
1360;8712;sea;8683;4951;779;4932;792;Mahal-Thiladhunmathi #Maldives
#BURMA
9550;9554;river_large;8610;-1;-1;-1;-1;Pagan-Myitche
9588;9590;river_large;8608;5969;1608;-1;-1;Sriksetra-Thayetmyo
9599;9626;river_large;8607;6015;1501;-1;-1;Krapan-Bogale
9633;9626;river_large;8606;5978;1496;-1;-1;Myaungmya-Bogale
9556;9568;river_large;8610;5977;1765;-1;-1;Ava-Sagaing
#KUTCH
1295;3385;sea;1397;4705;1673;4711;1684;Kanthakota-Kasara
#HOLLAND
2113;2112;sea;3229;1182;3290;1181;3283;Bergen op Zoom-Middelberg
2115;2112;sea;3229;1154;3275;1159;3279;Bruges-Middelberg
#EAST AFRICA
12773;12775;sea;12799;3350;423;3344;429;Pate-Kiangwe
12773;12774;sea;12799;3362;429;3365;437;Pate-Kiunga
# JAPAN
10551;10554;sea;12645;7895;2649;7893;2642;Kikuchi-Amakusa
10511;10608;sea;12612;8132;2809;8140;2814;Nagata-Mihara
10595;10608;sea;12612;8153;2847;8152;2838;Akashi-Mihara
10566;10526;sea;12610;7918;2763;7917;2751;Shimonoseki-Kiku
10589;10515;sea;12611;8088;2824;8092;2813;Tsukada-Kiyama
10575;10507;sea;12611;8028;2798;8036;2783;Kamo-Iyo
#SOUTHEAST ASIA
11277;11280;sea;12723;6523;873;6506;852;Indragiri-Lingga
11273;11274;sea;12723;6415;884;6421;885;Siak-Suir
11276;11275;sea;12723;6453;860;6452;868;Boron-Selat Panjang
11274;11275;sea;12723;6436;887;6446;880;Suir-Selat Panjang
# JAPAN - Hokkaido
10792;12819;sea;12659;8573;3499;8578;3518;Hanasaki-Kunasir
12819;12820;sea;12660;8603;3559;8639;3576;Kunasir-Etuworop-sir
# CHINA
11399;11277;sea;12752;6511;918;6518;895;Penawar-Tanjungpinang
12930;9802;sea;12752;6802;1797;6764;1822;Shecheng-Xuwen (Hainan to mainland)
# SOUTHEAST ASIA
11007;11002;sea;12625;7460;1890;7460;1928;Aparri-Calayan
11001;11002;sea;12625;7510;2003;7460;1928;Babuyan-Calayan
11023;11031;sea;12643;7520;1677;7530;1694;Pilila-Pulilu
11032;11028;sea;12644;7666;1667;7652;1658;Katanduan-Ibalon
11033;11026;sea;12661;7545;1636;7555;1643;Malindig-Bondoc
11025;11037;sea;12661;7491;1648;7499;1621;Batangan-Pingamalayan
11040;11036;sea;12661;7510;1584;7545;1581;Bongabong-Donblon
11036;11064;sea;12661;7581;1582;7575;1539;Donblon-Akean
11035;11047;sea;12662;7668;1566;7692;1576;Masbate-Catarman
11036;11035;sea;12661;7590;1580;7624;1579;Donblon-Masbate
11035;11034;sea;12661;7625;1592;7641;1597;Masbate-Ticao
11034;11029;sea;12661;7644;1600;7647;1611;Ticao-Ibat
11030;11047;sea;12662;7677;1603;7685;1594;Sorsogon-Catarman
11049;11051;sea;12664;7752;1525;7735;1523;Borongan-Kankabatok
11052;11065;sea;12664;7755;1484;7777;1480;Baybay-Dinagat
11052;11053;sea;12662;7729;1474;7713;1459;Baybay-Bool
11053;11054;sea;12662;7685;1470;7682;1480;Bool-Sugbu
11055;11059;sea;12662;7647;1463;7638;1478;Siaro-Nabingkalan
11060;11062;sea;12662;7612;1500;7601;1514;Binalbagan-Irong Irong
11082;11056;sea;12663;7651;1400;7654;1423;Tukuran-Katugasan
11056;11055;sea;12663;7654;1429;7646;1444;Katugasan-Siaro
11084;11085;sea;12668;7570;1318;7573;1302;Bolong-Matangal
11085;11086;sea;12672;7556;1293;7529;1270;Matangal-Sulug
11086;11088;sea;12672;7489;1256;7458;1225;Sulug-Tawi Tawi
11043;11041;sea;12628;7400;1514;7420;1538;Taytay-Jamayan
11042;11041;sea;12670;7472;1528;7443;1552;Cuyo-Jamayan
